,NCBI_ID,gene_symbol,collision,source,HGNC_ID,ENSG_ID,alias_symbol
0,GENE ID:3494,IGHA2,A2M,NCBI,HGNC:5479,ENSG00000211890,A2M
1,GENE ID:54776,PPP1R12C,AAVS1,NCBI,HGNC:14947,ENSG00000125503,"AAVS1,LENG3,MBS85,p84,p85"
2,GENE ID:6646,SOAT1,ACAT1,NCBI,HGNC:11177,ENSG00000057252,"ACACT,ACAT,ACAT-1,ACAT1,SOAT,STAT"
3,GENE ID:8435,SOAT2,ACAT2,NCBI,HGNC:11178,ENSG00000167780,"ACACT2,ACAT2,ARGP2"
4,GENE ID:9034,CCRL2,ACKR5,NCBI,HGNC:1612,ENSG00000121797,"ACKR5,CKRX,CRAM,CRAM-A,CRAM-B,HCR"
5,GENE ID:4706,NDUFAB1,ACP1,NCBI,HGNC:7694,ENSG00000004779,"ACP,ACP1,FASN2A,SDAP"
6,GENE ID:728378,POTEF,ACTB,NCBI,HGNC:33905,ENSG00000196604,"A26C1B,ACTB,POTE2alpha,POTEACTIN"
7,GENE ID:68,ACTBP8,ACTBP2,NCBI,HGNC:141,,ACTBP2
8,GENE ID:83,ACTG1P10,ACTP1,NCBI,HGNC:155,,"ACTGP10,ACTL1,ACTP1"
9,GENE ID:6871,TADA2A,ADA2,NCBI,HGNC:11531,ENSG00000276234,"ADA2,ADA2A,KL04P,TADA2L,hADA2"
10,GENE ID:6868,ADAM17,ADAM18,NCBI,HGNC:195,ENSG00000151694,"ADAM18,CD156B,CSVP,NISBD,NISBD1,TACE"
11,GENE ID:114,ADCY8,ADCY3,NCBI,HGNC:239,ENSG00000155897,"AC8,ADCY3,HBAC1"
12,GENE ID:131,ADH7,ADH4,NCBI,HGNC:256,ENSG00000196344,ADH4
13,GENE ID:203,AK1,ADK,NCBI,HGNC:361,ENSG00000106992,"ADK,Adk1,CNSHA3,HTL-S-58j"
14,GENE ID:146,ADRA1D,ADRA1A,NCBI,HGNC:280,ENSG00000171873,"ADRA1,ADRA1A,ADRA1R,ALPHA1,DAR,dJ779E11.2"
15,GENE ID:7726,TRIM26,AFP,NCBI,HGNC:12962,ENSG00000234127,"AFP,RNF95,ZNF173"
16,GENE ID:139281660,IFT70A-AS1,AGPS,NCBI,HGNC:58181,,"AGPS,PDE11A"
17,GENE ID:189,AGXT,AGT,NCBI,HGNC:341,ENSG00000172482,"AGT,AGT1,AGXT1,PH1,SPAT,SPT,Ser-PyrAT,TLH6"
18,GENE ID:1543,CYP1A1,AHRR,NCBI,HGNC:2595,ENSG00000140465,"AHH,AHRR,CP11,CYP1,CYPIA1,P1-450,P450-C,P450DX"
19,GENE ID:56899,ANKS1B,AIDA,NCBI,HGNC:24600,ENSG00000185046,"AIDA,AIDA-1,ANKS2,EB-1,EB1,cajalin-2"
20,GENE ID:54998,AURKAIP1,AIP,NCBI,HGNC:24114,ENSG00000175756,"AIP,AKIP,MRP-S38,mS38"
21,GENE ID:205,AK4,AK3,NCBI,HGNC:363,ENSG00000162433,"AK 4,AK3,AK3L1,AK3L2"
22,GENE ID:50808,AK3,AK6,NCBI,HGNC:17376,ENSG00000147853,"AK3L1,AK6,AKL3L,AKL3L1,FIX"
23,GENE ID:26289,AK5,AK6,NCBI,HGNC:365,ENSG00000154027,AK6
24,GENE ID:85302,FBF1,ALB,NCBI,HGNC:24674,ENSG00000188878,"Alb,FBF-1"
25,GENE ID:144245,ALG10B,ALG10,NCBI,HGNC:31088,ENSG00000175548,"ALG10,KCR1"
26,GENE ID:729970,CNN3-DT,ALG14-AS1,NCBI,HGNC:54176,ENSG00000235501,ALG14-AS1
27,GENE ID:10016,PDCD6,ALG2,NCBI,HGNC:8765,ENSG00000249915,"ALG-2,ALG2,PEF1B"
28,GENE ID:100506755,MIR497HG,ALOX12-AS1,NCBI,HGNC:39523,ENSG00000267532,"ALOX12-AS1,MIR195HG"
29,GENE ID:250,ALPP,ALPI,NCBI,HGNC:439,ENSG00000163283,"ALP,ALPI,IAP,PALP,PLAP,PLAP-1"
30,GENE ID:4882,NPR2,AMD1,NCBI,HGNC:7944,ENSG00000159899,"AMD1,AMDM,ANPRB,ANPb,ECDM,GC-B,GCB,GUC2B,GUCY2B,NPRB,NPRBi,SNSK"
31,GENE ID:215,ABCD1,AMN,NCBI,HGNC:61,ENSG00000101986,"ABC42,ALD,ALDP,AMN"
32,GENE ID:7337,UBE3A,ANCR,NCBI,HGNC:12496,ENSG00000114062,"ANCR,AS,E6-AP,EPVE6AP,HPVE6A,PIX1"
33,GENE ID:57291,DANCR,ANCR,NCBI,HGNC:28964,ENSG00000226950,"AGU2,ANCR,KIAA0114,SNHG13,lncRNA-ANCR"
34,GENE ID:554226,ANKRD30BL,ANKRD30BP3,NCBI,HGNC:35167,ENSG00000163046,"ANKRD30BP3,NCRNA00164"
35,GENE ID:283373,ANKRD52,ANKRD33,NCBI,HGNC:26614,ENSG00000139645,"ANKRD33,ARSC"
36,GENE ID:728113,ANXA8L1,ANXA8,NCBI,HGNC:23334,ENSG00000264230,"ANXA8,ANXA8L2,VAC-beta,bA145E20.2"
37,GENE ID:5624,PROC,APC,NCBI,HGNC:9451,ENSG00000115718,"APC,PC,PROC1,THPH3,THPH4"
38,GENE ID:79085,SLC25A23,APC2,NCBI,HGNC:19375,ENSG00000125648,"APC2,MCSC2,SCAMC3,SCaMC-3"
39,GENE ID:29882,ANAPC2,APC2,NCBI,HGNC:19989,ENSG00000176248,APC2
40,GENE ID:80350,LPAL2,APOA2,NCBI,HGNC:21210,ENSG00000290613,"APOA2,APOAL,APOARGC,apo(a)rg-C"
41,GENE ID:100913187,APOBEC3A_B,APOBEC3A,NCBI,HGNC:44196,,"A3A,APOBEC3A"
42,GENE ID:100533990,APOC4-APOC2,APOC4,NCBI,HGNC:44426,,"APOC4,Apo-CIV,ApoC-IV"
43,GENE ID:23780,APOL2,APOL3,NCBI,HGNC:619,ENSG00000128335,"APOL-II,APOL3"
44,GENE ID:334,APLP2,APPL2,NCBI,HGNC:598,ENSG00000084234,"APLP-2,APPH,APPL2,CDEBP"
45,GENE ID:84182,MINDY4,AQP1,NCBI,HGNC:21916,ENSG00000106125,"AQP-1,AQP1,C7orf67,CHIP28,FAM188B"
46,GENE ID:231,AKR1B1,AR,NCBI,HGNC:381,ENSG00000085662,"ADR,ALDR1,ALR2,AR"
47,GENE ID:374,AREG,AR,NCBI,HGNC:651,ENSG00000109321,"AR,AREGB,CRDGF,SDGF"
48,GENE ID:8996,NOL3,ARC,NCBI,HGNC:7869,ENSG00000140939,"ARC,FCM,MYOCL1,MYP,NOP,NOP30"
49,GENE ID:442334,ARF1P1,ARF1,NCBI,HGNC:22500,,ARF1
50,GENE ID:51326,ARL17A,ARF1P2,NCBI,HGNC:24096,ENSG00000185829,"ARF1P2,ARL17P1"
51,GENE ID:26286,ARFGAP3,ARFGAP1,NCBI,HGNC:661,ENSG00000242247,ARFGAP1
52,GENE ID:64129,TINAGL1,ARG1,NCBI,HGNC:19168,ENSG00000142910,"ARG1,LCN7,LIECG3,TINAGRP"
53,GENE ID:57584,ARHGAP21,ARHGAP10,NCBI,HGNC:23725,ENSG00000107863,ARHGAP10
54,GENE ID:100533184,ARHGAP19-SLIT1,ARHGAP19,NCBI,HGNC:48348,ENSG00000269891,ARHGAP19
55,GENE ID:57016,AKR1B10,ARL1,NCBI,HGNC:382,ENSG00000198074,"AKR1B11,AKR1B12,ALDRLn,ARL-1,ARL1,HIS,HSI"
56,GENE ID:100506084,ARL17B,ARL17A,NCBI,HGNC:32387,ENSG00000228696,"ARL17,ARL17A"
57,GENE ID:375056,MIA3,ARNT,NCBI,HGNC:24008,ENSG00000154305,"ARNT,D320,ODCD2,TANGO,TANGO1,UNQ6077"
58,GENE ID:100526693,ARPC4-TTLL3,ARPC4,NCBI,HGNC:38830,ENSG00000250151,"ARC20,ARPC4,p20-ARC"
59,GENE ID:100526783,ARPIN-AP3S2,ARPIN,NCBI,HGNC:38824,ENSG00000250021,"ARPIN,C15orf38,C15orf38-AP3S2"
60,GENE ID:57152,SLURP1,ARSB,NCBI,HGNC:18746,ENSG00000126233,"ANUP,ARS,ArsB,LY6-MT,LY6LS,MDM"
61,GENE ID:91526,ANKRD44,ARSB,NCBI,HGNC:25259,ENSG00000065413,"ARSB,PP6-ARS-B"
62,GENE ID:10077,TSPAN32,ART1,NCBI,HGNC:13410,ENSG00000064201,"ART1,PHEMX,PHMX,TSSC6"
63,GENE ID:10054,UBA2,ARX,NCBI,HGNC:30661,ENSG00000126261,"ACCES,ARX,HRIHFB2115,SAE2"
64,GENE ID:100302652,GPR75-ASB3,ASB3,NCBI,HGNC:40043,ENSG00000115239,"ASB-3,ASB3"
